year,file,sheet,row,column,matched_text
2022,761 - Carver High School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
2022,761 - G.W. Carver High School Early College.xls,Survey Results,472,Unnamed: 0,Housing Concerns
2022,761 - Sylvan Hills Middle School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
2023,761 - Carver High School Early College.xls,Survey Results,472,Unnamed: 0,Housing Concerns
2023,761 - Carver High School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
2023,761 - Sylvan Hills Middle School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
2024,761 - Carver High School Early College.xls,Survey Results,472,Unnamed: 0,Housing Concerns
2024,761 - Carver High School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
2024,761 - Sylvan Hills Middle School.xls,Survey Results,472,Unnamed: 0,Housing Concerns
